"","V1","V2","V3"
"3355",52,824,4
"3356",52,844,8
"3357",52,862,6
"3359",52,881,7
"3361",52,911,10
"3365",52,985,8
"3367",52,1028,5
"3368",52,1030,6
"3369",52,1044,4
"3370",52,1062,5
"3372",52,1074,5
"3373",52,1077,4
"3374",52,1085,5
"3376",52,1104,4
"3377",52,1112,3
"3379",52,1127,5
"3382",52,1175,7
"3383",52,1180,6
"3384",52,1185,7
"3385",52,1203,7
"3387",52,1227,3
"3389",52,1268,5
"3390",52,1274,6
"3391",52,1368,4
"3394",52,1419,7
"3395",52,1437,6
"3396",52,1465,8
"3397",52,1486,6
"3398",52,1492,5
"3399",52,1498,4
"3400",52,1543,6
"3401",52,1555,6
"3405",52,1620,4
"3407",52,1694,6
"3408",52,1704,6
"3410",52,1730,6
"3411",52,1744,6
"3412",52,1759,8
"3413",52,1763,8
"3416",52,1797,8
"3417",52,1799,7
"3419",52,1828,6
"3421",52,1846,6
"3424",52,1875,4
"3425",52,1896,5
"3428",52,1923,7
"3429",52,1947,7
"3432",52,1966,7
"3434",52,1986,5
"3436",52,2006,5
"3440",52,2069,7
"3443",52,2107,5
"3444",52,2118,5
"3446",52,2141,5
"3447",52,2158,3
"3450",52,2192,6
"3451",52,2196,5
"3452",52,2211,8
"3453",52,2230,7
"3454",52,2242,3
"3457",52,2295,7
"3459",52,2327,7
"3460",52,2332,6
"3461",52,2340,5
"3463",52,2381,7
"3464",52,2389,5
"3465",52,2413,6
"3466",52,2418,5
"3467",52,2452,4
"3469",52,2488,7
"3470",52,2498,6
"3472",52,2512,6
"3473",52,2523,7
"3474",52,2535,9
"3475",52,2585,8
"3476",52,2607,6
"3477",52,2682,8
"3478",52,2701,7
"3479",52,2827,5
"3480",52,2835,7
"3483",52,2857,7
"3485",52,2877,7
"3486",52,2880,7
"3487",52,2897,7
"3488",52,2908,8
"3489",52,2915,8
"3490",52,2919,7
"3494",52,2954,7
"3495",52,2984,7
"3500",52,3029,9
"3506",52,3085,4
"3507",52,3134,4
"3509",52,3261,5
"3512",52,3341,5
"3515",52,3375,5
"3516",52,3380,5
"3517",52,3388,4
"3518",52,3415,5
"3520",52,3435,5
"3521",52,3443,5
"3522",52,3486,7
"3523",52,3488,6
"3524",52,3524,7
"3526",52,3570,5
"3528",52,3626,5
"3529",52,3746,7
"3530",52,3757,5
"3538",52,3941,5
"3539",52,3994,5
"4488",74,75,3
"4489",74,82,4
"4490",74,93,6
"4492",74,104,4
"4493",74,118,4
"4494",74,120,5
"4495",74,121,4
"4496",74,135,5
"4497",74,137,4
"4498",74,151,6
"4499",74,152,6
"4500",74,162,6
"4501",74,173,4
"4502",74,180,5
