"","X1","X14","X4"
"40925",1180,1555,8
"40929",1180,1620,6
"40933",1180,1718,6
"40946",1180,1857,10
"40960",1180,2006,7
"40969",1180,2125,8
"40986",1180,2355,11
"41002",1180,2701,9
"41006",1180,2856,10
"41010",1180,2880,11
"41029",1180,3067,11
"41033",1180,3261,7
"41046",1180,3486,5
"41850",1268,1403,8
"41854",1268,1486,7
"41858",1268,1555,11
"41862",1268,1620,5
"41866",1268,1718,7
"41879",1268,1857,9
"41893",1268,2006,6
"41902",1268,2125,9
"41919",1268,2355,10
"41935",1268,2701,10
"41939",1268,2856,11
"41943",1268,2880,10
"41962",1268,3067,8
"41966",1268,3261,6
"41979",1268,3486,6
"42456",1403,1486,7
"42460",1403,1555,7
"42464",1403,1620,9
"42468",1403,1718,9
"42481",1403,1857,7
"42495",1403,2006,8
"42504",1403,2125,9
"42521",1403,2355,6
"42537",1403,2701,10
"42541",1403,2856,9
"42545",1403,2880,10
"42564",1403,3067,6
"42568",1403,3261,6
"42581",1403,3486,8
"43046",1486,1555,10
"43050",1486,1620,6
"43054",1486,1718,8
"43067",1486,1857,8
"43081",1486,2006,7
"43090",1486,2125,8
"43107",1486,2355,11
"43123",1486,2701,9
"43127",1486,2856,10
"43131",1486,2880,11
"43150",1486,3067,9
"43154",1486,3261,9
"43167",1486,3486,5
"43620",1555,1620,6
"43624",1555,1718,4
"43637",1555,1857,6
"43651",1555,2006,7
"43660",1555,2125,10
"43677",1555,2355,7
"43693",1555,2701,9
"43697",1555,2856,10
"43701",1555,2880,9
"43720",1555,3067,11
"43724",1555,3261,9
"43737",1555,3486,11
"44178",1620,1718,6
"44191",1620,1857,6
"44205",1620,2006,7
"44214",1620,2125,8
"44231",1620,2355,11
"44247",1620,2701,9
"44251",1620,2856,10
"44255",1620,2880,9
"44274",1620,3067,11
"44278",1620,3261,9
"44291",1620,3486,9
"44729",1718,1857,10
"44743",1718,2006,5
"44752",1718,2125,12
"44769",1718,2355,9
"44785",1718,2701,9
"44789",1718,2856,10
"44793",1718,2880,11
"44812",1718,3067,11
"44816",1718,3261,7
"44829",1718,3486,9
"46381",1857,2006,7
"46390",1857,2125,6
"46407",1857,2355,11
"46423",1857,2701,9
"46427",1857,2856,6
"46431",1857,2880,5
"46450",1857,3067,9
"46454",1857,3261,11
"46467",1857,3486,11
"47965",2006,2125,11
"47982",2006,2355,10
"47998",2006,2701,10
"48002",2006,2856,11
"48006",2006,2880,6
"48025",2006,3067,8
"48029",2006,3261,10
"48042",2006,3486,6
"48891",2125,2355,11
"48907",2125,2701,5
"48911",2125,2856,6
"48915",2125,2880,7
"48934",2125,3067,9
"48938",2125,3261,7
"48951",2125,3486,9
"50403",2355,2701,10
"50407",2355,2856,9
"50411",2355,2880,8
"50430",2355,3067,6
"50434",2355,3261,8
"50447",2355,3486,8
"51551",2701,2856,7
"51555",2701,2880,8
"51574",2701,3067,8
"51578",2701,3261,4
"51591",2701,3486,8
"51801",2856,2880,5
"51820",2856,3067,7
"51824",2856,3261,9
"51837",2856,3486,9
"52050",2880,3067,8
"52054",2880,3261,12
"52067",2880,3486,10
"52928",3067,3261,8
"52941",3067,3486,6
"53079",3261,3486,6
