"","ID1","ID2","dis"
"6069",104,274,6
"6076",104,304,6
"6077",104,311,5
"6078",104,312,5
"6079",104,324,4
"6080",104,325,5
"6081",104,330,5
"6082",104,331,6
"6093",104,392,6
"6094",104,393,7
"6097",104,413,5
"6113",104,502,6
"6121",104,544,5
"6131",104,613,6
"6134",104,637,6
"6136",104,651,8
"6143",104,696,6
"6145",104,707,8
"6157",104,792,5
"6183",104,1104,6
"6184",104,1112,5
"6203",104,1465,8
"6207",104,1543,6
"6219",104,1759,8
"6228",104,1846,6
"6233",104,1903,6
"6246",104,2056,5
"6289",104,2856,6
"6300",104,2945,10
"6315",104,3163,6
"7268",135,137,5
"7273",135,180,4
"7279",135,211,5
"7291",135,274,7
"7298",135,304,7
"7299",135,311,6
"7300",135,312,8
"7301",135,324,7
"7302",135,325,6
"7303",135,330,6
"7304",135,331,7
"7315",135,392,7
"7316",135,393,6
"7319",135,413,6
"7335",135,502,9
"7343",135,544,4
"7353",135,613,5
"7356",135,637,7
"7358",135,651,5
"7365",135,696,7
"7367",135,707,5
"7379",135,792,6
"7405",135,1104,7
"7406",135,1112,8
"7425",135,1465,7
"7429",135,1543,5
"7441",135,1759,5
"7450",135,1846,7
"7455",135,1903,7
"7468",135,2056,8
"7511",135,2856,9
"7522",135,2945,7
"7537",135,3163,9
"7576",137,180,7
"7582",137,211,4
"7594",137,274,6
"7601",137,304,8
"7602",137,311,7
"7603",137,312,7
"7604",137,324,6
"7605",137,325,5
"7606",137,330,7
"7607",137,331,6
"7618",137,392,4
"7619",137,393,3
"7622",137,413,7
"7638",137,502,10
"7646",137,544,3
"7656",137,613,8
"7659",137,637,8
"7661",137,651,4
"7668",137,696,6
"7670",137,707,6
"7682",137,792,3
"7708",137,1104,6
"7709",137,1112,7
"7728",137,1465,4
"7732",137,1543,6
"7744",137,1759,6
"7753",137,1846,8
"7758",137,1903,10
"7771",137,2056,7
"7814",137,2856,6
"7825",137,2945,4
"7840",137,3163,8
"9082",180,211,3
"9094",180,274,7
"9101",180,304,7
"9102",180,311,6
"9103",180,312,6
"9104",180,324,7
"9105",180,325,6
"9106",180,330,6
"9107",180,331,7
"9118",180,392,7
"9119",180,393,8
"9122",180,413,6
"9138",180,502,7
"9146",180,544,6
"9156",180,613,5
"9159",180,637,7
"9161",180,651,5
"9168",180,696,5
"9170",180,707,5
"9182",180,792,6
"9208",180,1104,5
"9209",180,1112,6
"9228",180,1465,7
"9232",180,1543,5
"9244",180,1759,5
"9253",180,1846,7
"9258",180,1903,5
"9271",180,2056,6
"9314",180,2856,9
"9325",180,2945,9
"9340",180,3163,5
"10861",211,274,6
"10868",211,304,8
"10869",211,311,7
"10870",211,312,7
"10871",211,324,6
"10872",211,325,5
"10873",211,330,7
"10874",211,331,6
"10885",211,392,6
"10886",211,393,7
"10889",211,413,7
"10905",211,502,6
"10913",211,544,3
"10923",211,613,6
"10926",211,637,6
"10928",211,651,6
"10935",211,696,4
"10937",211,707,4
"10949",211,792,7
"10975",211,1104,6
"10976",211,1112,9
"10995",211,1465,6
"10999",211,1543,6
"11011",211,1759,4
"11020",211,1846,6
"11025",211,1903,6
"11038",211,2056,7
"11081",211,2856,6
"11092",211,2945,6
"11107",211,3163,6
"14294",274,304,4
"14295",274,311,5
"14296",274,312,5
"14297",274,324,4
"14298",274,325,7
"14299",274,330,5
"14300",274,331,4
"14311",274,392,4
"14312",274,393,7
"14315",274,413,5
"14331",274,502,6
"14339",274,544,7
"14349",274,613,8
"14352",274,637,8
"14354",274,651,6
"14361",274,696,6
"14363",274,707,8
"14375",274,792,5
"14401",274,1104,6
"14402",274,1112,5
"14421",274,1465,4
"14425",274,1543,8
"14437",274,1759,10
"14446",274,1846,6
"14451",274,1903,6
"14464",274,2056,3
"14507",274,2856,6
"14518",274,2945,6
"14533",274,3163,6
"16227",304,311,5
"16228",304,312,3
"16229",304,324,6
"16230",304,325,5
"16231",304,330,5
"16232",304,331,6
"16243",304,392,6
"16244",304,393,5
"16247",304,413,5
"16263",304,502,4
"16271",304,544,5
"16281",304,613,6
"16284",304,637,8
"16286",304,651,6
"16293",304,696,6
"16295",304,707,6
"16307",304,792,7
"16333",304,1104,4
"16334",304,1112,7
"16353",304,1465,6
"16357",304,1543,6
"16369",304,1759,10
"16378",304,1846,4
"16383",304,1903,8
"16396",304,2056,3
"16439",304,2856,6
"16450",304,2945,6
"16465",304,3163,6
"16500",311,312,4
"16501",311,324,5
"16502",311,325,6
"16503",311,330,6
"16504",311,331,5
"16515",311,392,7
"16516",311,393,6
"16519",311,413,4
"16535",311,502,5
